"","coord1D","coord2D"
"10",0.559343874454498,-0.00756581733003259
"33",0.659135162830353,0.017722487449646
"45",-0.120349898934364,0.0599539689719677
"86",-0.178673639893532,-0.50931054353714
"102",0.0971463695168495,-0.00389283522963524
"115",0.593083441257477,-0.057407196611166
"117",-0.206189006567001,0.0931352600455284
"126",-0.0534042119979858,-0.333965510129929
"127",-0.0317702442407608,-0.055694904178381
"132",-0.201752007007599,0.0116884987801313
"133",0.700843274593353,0.10408877581358
"147",0.593057215213776,0.0409995727241039
"169",0.591830551624298,0.0396961383521557
"179",0.619413137435913,-0.0686429515480995
"188",0.661894917488098,-0.0301359910517931
"190",0.396747231483459,0.672882914543152
"193",-0.441064745187759,0.258031278848648
"194",0.632899522781372,-0.0593808032572269
"196",0.668271839618683,0.370527386665344
"200",-0.171169117093086,-0.214241296052933
"219",0.725413143634796,0.0445677414536476
"227",0.486185222864151,0.656402826309204
"228",-0.288240671157837,-0.512426733970642
"229",0.789073646068573,-0.233562290668488
"230",0.605469703674316,-0.041682306677103
"246",-0.238497570157051,-0.130980312824249
"256",-0.275932878255844,-0.253422737121582
"266",0.902521729469299,-0.430644333362579
"270",0.571190357208252,0.0289068780839443
"280",0.202177837491035,-0.282546758651733
"292",-0.371029943227768,-0.10665238648653
"293",-0.538750112056732,-0.089895561337471
"297",0.531132340431213,-0.126344680786133
"298",0.111974291503429,-0.110388807952404
"317",-0.594999015331268,-0.473095864057541
"318",0.584494829177856,0.0417872369289398
"320",-0.446267157793045,-0.328324317932129
"333",-0.00990049261599779,-0.518295168876648
"338",0.313056081533432,-0.115744024515152
"342",0.669784724712372,0.157146021723747
"343",-0.391802579164505,0.335495799779892
"344",0.806514620780945,0.301979035139084
"345",0.699882507324219,-0.168872505426407
"348",0.654591977596283,0.21800334751606
"352",0.56636768579483,0.24788025021553
"355",-0.231325194239616,-0.0924191921949387
"356",0.580227375030518,-0.149682059884071
"359",-0.285769879817963,-0.150892734527588
"360",0.580920040607452,-0.00358934001997113
"363",0.574006676673889,0.0207932088524103
"366",0.636014938354492,-0.12683330476284
"367",-0.445244073867798,-0.315641462802887
"368",-0.056473508477211,-0.102949321269989
"373",0.84814190864563,0.52976930141449
"374",-0.453587591648102,-0.858750641345978
"379",-0.0389431901276112,-0.198893263936043
"389",-0.0503365509212017,-0.146305784583092
"396",-0.219681233167648,0.0438671037554741
"399",-0.174011394381523,0.116794414818287
"401",0.701123118400574,-0.0235069375485182
"402",-0.409461855888367,0.215833112597466
"406",-0.0894402638077736,0.296494543552399
"407",-0.382184654474258,-0.0156263299286366
"408",0.176237538456917,-0.0973371043801308
"411",-0.0362175293266773,-0.302150219678879
"412",0.844096004962921,0.341680616140366
"413",-0.258017241954803,0.00054032017942518
"415",0.0932051539421082,-0.106989271938801
"418",-0.148449540138245,-0.0284426379948854
"427",-0.71879905462265,-0.695217967033386
"430",-0.338521063327789,-0.352506250143051
"432",0.0501138232648373,-0.0170677695423365
"438",-0.420670807361603,-0.0207738857716322
"446",0.626764059066772,-0.0555368177592754
"447",0.159556239843369,-0.275137394666672
"448",0.530915081501007,0.0199788510799408
"449",0.884847164154053,0.178584888577461
"451",-0.0133260218426585,-0.292036294937134
"453",-0.468084812164307,0.299397885799408
"454",-0.129557207226753,0.187149688601494
"458",0.00333815324120224,-0.224736660718918
"460",-0.200554877519608,0.211908012628555
"461",0.934545874595642,0.355842709541321
"463",0.515030145645142,-0.191855743527412
"465",0.591577708721161,-0.0107958801090717
"467",-0.228902995586395,0.358664184808731
"470",-0.456229507923126,-0.121591910719872
"471",-0.3086217045784,0.0683666318655014
"475",0.862423658370972,0.226938605308533
"477",0.622397243976593,-0.0953917652368546
"478",-0.502821385860443,-0.0367218032479286
"491",-0.021533228456974,-0.0580445155501366
"493",-0.49726539850235,0.0687580034136772
"495",-0.145818367600441,0.129145413637161
"500",-0.0708286389708519,0.044377651065588
"503",-0.607394754886627,0.0180935300886631
"506",-0.766933381557465,0.437183827161789
"516",0.339896559715271,-0.137686148285866
"519",0.601132035255432,0.209264054894447
"537",0.693881213665009,-0.111020348966122
"548",0.658411920070648,0.0204878933727741
"552",-0.598862051963806,-0.142483234405518
"556",0.649443030357361,-0.172466412186623
"558",0.730577886104584,-0.0511017329990864
"561",-0.31587353348732,0.0206232182681561
"562",0.73619270324707,0.0616931058466434
"565",0.618209421634674,0.193760186433792
"567",0.663580656051636,-0.167311951518059
"571",0.635213673114777,0.155210390686989
"572",0.681937873363495,-0.105306141078472
"575",0.593442618846893,-0.0366427600383759
"576",0.607365489006042,-0.0339745841920376
"579",0.704242527484894,-0.0710998103022575
"587",-0.178096324205399,0.273705244064331
"591",0.0784232765436172,-0.125171035528183
"598",0.609994471073151,-0.0187137741595507
"601",-0.123640142381191,-0.165591165423393
"603",0.580168962478638,0.0559711642563343
"605",0.788510322570801,-0.0919241309165955
"607",0.00126942875795066,0.406318366527557
"608",0.607929170131683,-0.0555216819047928
"609",0.623834669589996,-0.0762062445282936
"611",0.573707044124603,0.0771275460720062
"615",0.596912443637848,-0.0255461595952511
"625",-0.0709105208516121,0.314637303352356
"628",0.630014300346375,0.350932121276855
"631",0.613626062870026,-0.475664287805557
"633",0.703796148300171,-0.160359188914299
"634",-0.246099650859833,0.267732322216034
"636",0.583397328853607,0.159481972455978
"637",0.6635462641716,-0.0124256080016494
"648",0.782862067222595,-0.218327134847641
"657",0.848505973815918,0.299535632133484
"662",0.629382193088531,0.0183333996683359
"672",0.620893895626068,-0.172505587339401
"676",0.580271899700165,-0.4406458735466
"680",-0.372583657503128,-0.686287105083466
"682",0.748243153095245,0.0771689936518669
"683",-0.0269266311079264,0.212663203477859
"684",0.845904111862183,-0.533334910869598
"690",0.0263316407799721,0.0634585842490196
"693",0.997780561447144,-0.0665876045823097
"707",-0.163318410515785,-0.0508636049926281
"708",-0.859243333339691,-0.454425007104874
"709",-0.286801666021347,0.0993382185697556
"710",-0.428089141845703,0.163390800356865
"711",-0.485181152820587,0.062778428196907
"712",-0.334321439266205,-0.0371271781623363
"713",0.634159684181213,0.507338643074036
"714",0.553131520748138,-0.0215531289577484
"715",-0.290875792503357,0.159490451216698
"717",0.64645129442215,0.0545986220240593
"718",0.64008891582489,-0.120051130652428
"719",0.74221134185791,-0.0217894669622183
"720",0.707301259040833,-0.0918926522135735
"721",0.749518573284149,-0.132054910063744
"722",0.633388698101044,-0.125426173210144
"724",0.787708282470703,0.0576536655426025
"725",0.818420052528381,0.0717986151576042
"726",0.757230222225189,-0.0305027160793543
"727",0.807505905628204,0.445870995521545
"728",0.641984939575195,-0.147597685456276
"729",-0.224068805575371,-0.34368160367012
"730",0.624334275722504,0.11117946356535
"731",0.63691920042038,-0.0547062605619431
"732",0.605158805847168,0.0173046421259642
"733",0.602619349956512,0.182419881224632
"734",0.729513764381409,-0.1885636895895
"735",0.620556712150574,-0.155856192111969
"736",0.815189182758331,-0.178176537156105
"737",0.0467454604804516,-0.212443456053734
"738",-0.207680970430374,-0.132044166326523
"739",-0.122303560376167,-0.326752454042435
"741",-0.162038743495941,-0.141369298100471
"743",0.129000827670097,-0.203043878078461
"744",0.81348443031311,-0.0950774103403091
"745",-0.0357492417097092,0.00305696297436953
"747",0.727135062217712,0.180315732955933
"748",0.61168897151947,0.0199132990092039
"749",0.889651954174042,0.233520969748497
"750",0.651661574840546,-0.164926663041115
"751",0.604932487010956,0.0251430738717318
"752",0.576434791088104,0.0553235448896885
"753",0.683378159999847,0.0165823809802532
"754",0.956268012523651,0.150758445262909
"755",0.649116098880768,-0.186107158660889
"756",-0.282235443592072,0.0645886063575745
"757",-0.143121138215065,0.321511834859848
"758",0.92648059129715,0.0215600151568651
"760",0.651056945323944,-0.084434375166893
"761",-0.10107983648777,0.077097050845623
"762",-0.373231321573257,0.0522681474685669
"763",-0.337493360042572,-0.0402929931879044
"764",0.0995790883898735,-0.229533821344376
"765",-0.192016929388046,-0.20256981253624
"766",-0.844799160957336,-0.170394584536552
"767",-0.85985404253006,-0.101019605994225
"768",-0.170305252075195,0.158941850066185
"769",0.0356687940657139,0.437359094619751
"772",0.829575538635254,0.247135490179062
"773",0.651215434074402,0.0068535846658051
"774",0.669647991657257,0.100782223045826
"775",0.651126265525818,0.0312728807330132
"776",0.7839115858078,-0.144792407751083
"777",0.930333256721497,0.196119397878647
"778",-0.0314457453787327,-0.0600788183510303
"779",0.701827704906464,0.0217266026884317
"780",0.717558026313782,-0.261286914348602
"784",0.566665053367615,0.0129823219031096
"785",0.60511040687561,-0.0241503287106752
"786",-0.606090068817139,-0.745930433273315
"787",-0.113865792751312,0.098486952483654
"789",-0.175767838954926,0.0223909132182598
"790",0.652517020702362,-0.173036515712738
"791",0.0655724555253983,-0.0597978532314301
"792",-0.527883470058441,0.157425627112389
"793",-0.377729088068008,0.029694452881813
"794",-0.135694116353989,-0.154898449778557
"795",0.595119774341583,-0.088256448507309
"796",-0.511489033699036,0.0536409355700016
"797",0.685919106006622,-0.235341340303421
"798",-0.25924363732338,-0.119752794504166
"799",0.675551056861877,-0.0645357370376587
"800",-0.377293288707733,0.220473229885101
"801",0.616310238838196,0.227489247918129
"802",0.750383377075195,-0.117406956851482
"803",0.646897077560425,-0.0702873766422272
"804",0.795976042747498,-0.0135677121579647
"805",0.886430084705353,0.278257966041565
"806",0.631244540214539,-0.121830984950066
"807",0.783248424530029,0.32698866724968
"808",0.637417435646057,-0.130397915840149
"809",0.543095469474792,-0.0426375344395638
"810",0.870048761367798,0.031519029289484
"811",0.623855173587799,0.0299803521484137
"814",0.612271368503571,-0.0298983193933964
"815",0.627251148223877,-0.0166967678815126
